City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,rio gallegos,-51.6226,-69.2181,10.03,66,40,10.8,AR,1682616867
1,jamestown,42.097,-79.2353,14.73,39,0,2.06,US,1682616707
2,chodavaram,17.8333,82.95,25.91,69,52,1.2,IN,1682616867
3,prince george,53.9166,-122.753,7.92,47,0,4.63,CA,1682616740
4,nova sintra,14.8667,-24.7167,20.0,77,37,6.77,CV,1682616868
5,bredasdorp,-34.5322,20.0403,15.73,77,59,3.59,ZA,1682616858
6,berezovyy,51.6667,135.7,-1.37,94,100,1.39,RU,1682616868
7,college,64.8569,-147.8028,2.97,59,75,0.0,US,1682616868
8,punta arenas,-53.15,-70.9167,8.06,57,0,14.4,CL,1682616577
9,port-aux-francais,-49.35,70.2167,6.05,70,88,11.55,TF,1682616869
10,adamstown,-25.066,-130.1015,23.78,67,94,3.24,PN,1682616869
11,longyearbyen,78.2186,15.6401,-2.09,74,75,8.23,SJ,1682616869
12,sitka,57.0531,-135.33,4.94,81,100,6.17,US,1682616869
13,waitangi,-43.9535,-176.5597,11.01,75,42,1.34,NZ,1682616869
14,edinburgh of the seven seas,-37.0676,-12.3116,17.18,80,89,8.74,SH,1682616870
15,dudinka,69.4058,86.1778,-11.32,100,87,1.23,RU,1682616870
16,margaret river,-33.95,115.0667,12.45,74,74,2.83,AU,1682616870
17,stanley,54.868,-1.6985,10.4,78,40,2.57,GB,1682616870
18,san luis,-33.295,-66.3356,26.84,24,84,5.09,AR,1682616871
19,ushuaia,-54.8,-68.3,5.81,70,75,10.29,AR,1682616818
20,saipan,15.1355,145.701,27.39,89,40,8.23,MP,1682616871
21,nuuk,64.1835,-51.7216,2.34,80,20,10.29,GL,1682616871
22,sangli,16.8544,74.5642,26.92,48,13,4.61,IN,1682616641
23,sanctuary point,-35.1114,150.629,17.96,83,3,2.87,AU,1682616872
24,razole,16.4833,81.8333,26.49,84,11,1.67,IN,1682616872
25,olonkinbyen,70.9221,-8.7187,-1.25,96,99,10.08,SJ,1682616872
26,uturoa,-16.7333,-151.4333,27.89,78,31,5.22,PF,1682616873
27,camocim de sao felix,-8.3586,-35.7619,24.57,76,99,2.38,BR,1682616873
28,yellowknife,62.456,-114.3525,2.29,93,75,5.36,CA,1682616874
29,rabigh,22.7986,39.0349,28.05,42,22,3.79,SA,1682616874
30,bilibino,68.0546,166.4372,-16.4,88,8,1.85,RU,1682616874
31,margate,51.3813,1.3862,11.61,76,100,0.89,GB,1682616875
32,vernon,50.2581,-119.2691,15.97,24,70,2.24,CA,1682616875
33,cockburn town,21.4612,-71.1419,25.75,74,30,2.97,TC,1682616875
34,port mathurin,-19.6833,63.4167,26.15,81,54,6.84,MU,1682616876
35,kapuskasing,49.4169,-82.4331,5.05,70,100,5.14,CA,1682616722
36,vorkuta,67.5,64.0,-7.45,90,85,7.16,RU,1682616876
37,saldanha,-33.0117,17.9442,16.03,83,4,1.71,ZA,1682616876
38,ostrow mazowiecka,52.8024,21.8951,5.51,68,74,2.87,PL,1682616877
39,mount pearl,47.5166,-52.7813,6.64,83,100,8.23,CA,1682616877
40,isafjordur,66.0755,-23.124,1.02,51,40,6.17,IS,1682616877
41,yorkton,51.2167,-102.4677,7.91,57,75,5.66,CA,1682616877
42,colonia,50.9333,6.95,15.53,43,0,2.57,DE,1682616689
43,alice springs,-23.7,133.8833,16.75,82,75,2.77,AU,1682616878
44,wailua homesteads,22.0669,-159.378,20.97,80,0,4.12,US,1682616878
45,sturgis,41.7992,-85.4192,15.17,19,0,3.09,US,1682616878
46,saint-louis,16.3333,-15.0,43.8,9,0,3.21,SN,1682616878
47,semdinli,37.3051,44.5742,15.02,56,73,1.82,TR,1682616878
48,puerto ayora,-0.7393,-90.3518,29.98,85,43,4.47,EC,1682616879
49,nemuro,43.3236,145.575,5.65,62,1,8.61,JP,1682616831
50,baharampur,24.1,88.25,30.16,40,57,2.04,IN,1682616880
51,iqaluit,63.7506,-68.5145,-0.15,93,75,6.71,CA,1682616881
52,ilulissat,69.2167,-51.1,0.01,80,40,4.63,GL,1682616882
53,ribeira grande,38.5167,-28.7,18.22,82,40,8.75,PT,1682616883
54,lazaro cardenas,17.9583,-102.2,28.67,55,63,4.27,MX,1682616797
55,tiksi,71.6872,128.8694,-13.35,89,10,2.18,RU,1682616883
56,grytviken,-54.2811,-36.5092,3.07,91,49,4.12,GS,1682616883
57,yoko,5.5333,12.3167,20.23,87,95,1.52,CM,1682616884
58,tsiombe,-25.3,45.4833,19.77,81,27,2.81,MG,1682616884
59,kasamwa,-2.85,32.4333,19.35,90,100,1.44,TZ,1682616884
60,hafar al-batin,28.4328,45.9708,30.32,28,0,2.06,SA,1682616885
61,albany,42.6001,-73.9662,14.46,60,81,0.58,US,1682616750
62,murghob,38.1702,73.9667,-3.15,40,68,2.16,TJ,1682616885
